,x_source,y_source,x_target,y_target
1,261.04764390377716,240.80836533527207,256.9139329333943,233.54483020236387
2,245.94653182124284,226.18920363835056,242.29477123647277,218.28306799129194
3,233.7371220523853,241.2903157208849,230.72796198176565,233.22352994528867
4,228.59631793918214,213.33719335534263,225.42650774002487,205.59170783682163
5,220.56381151230218,247.87697099092645,216.26945041338172,240.93473611509341
6,214.4591066278734,201.9310342291731,210.16474552895295,194.66749909626486
7,201.76774647340307,269.08278795788954,197.7946856315578,261.6586026964437
8,186.98793464794394,206.10793757115067,183.33617406317387,198.84440243824247
9,177.5095770642256,255.4275270321936,172.89391570822994,248.64594228489818
10,170.76227166564644,230.52675710886575,166.46791056672595,223.26322197595752
11,224.25876446866698,222.4942506819858,220.2857036268217,215.39136567761517
12,186.02403387671836,213.81914374095544,182.53292342048587,205.91300809389682
13,194.37784056067352,265.5484851300624,190.72607997590345,258.76690038276695
14,171.40487217979683,249.32282214776484,167.59246146648917,242.21993714339425
15,172.69007320809763,224.5827023529746,168.55636223771475,216.83721683445356
